country	Access_to_Electricity_percent_of_Population	basic_drinking_water_access_pct	Control_of_Corruption_Percentile_Rank_Upper_Bound_of_90_percent_Confidence_Interval	death_20_24_years	Employment_in_Industry_Female_percent_of_Female_Employment_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15__Total_percent_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15_24_Male_percent_ILO_modeled_estimates	energy_consumption_gnipct	energy_intensity_mj_gdp	export_value_index_2000	export_volume_index_2000	Female_to_Male_Labor_Force_Participation_Rate_Ratio_percent_ILO_modeled_estimates	fertility_rate_total	gdp_deflator	GDP_per_Employed_Person_constant_2021_PPP_dollars	government_effectiveness_estimate	Gross_Enrollment_Ratio_of_Girls_in_Primary_School_percent	Labor_Force_Participation_Rate_Male_percent_of_Male_Population_Ages_15__ILO_modeled_estimates	Labor_Force_Participation_Rate_of_Women_Aged_15_24_percent_ILO_modeled_estimates	male_population_0_14_pct	Merchandise_Trade_percent_of_GDP	open_defecation_percent	personal_remittances_gdp_percent	Population_Aged_20_24_Female_percent_of_Female_Population	primary_school_enrollment_gross	refugee_population	Rule_of_Law_estimate	rural_electricity_access_pct	service_value_added_growth	Total_Cases	Unemployment_Rate_Youth_Total_percent_of_Total_Labor_Force_Ages_15_24_ILO_modeled_estimates	unemployment_total_ilo	voice_accountability_estimate	Women_Business_and_the_Law_Index_score_scale_1_100	women_parliament_seats_percent	year
BEN	22	61.74	52.66	1462	17	71	61	0	5	23.307	46.67	79	5.89	67.989	6704	-0.397	65	81	57	46.275	28.551	68.284	2	8.607	80	47	-0.182	5	13	468	1	1	0.413	49	6	2000
BFA	9	57.56	72.872	3426	3	76	75	0	5	9.603	17.4	79	6.519	69.811	3540	-0.783	36	87	65	47.947	27.625	73.975	2	8.876	43	124	-0.732	2	9	617	4	3	-0.23	71	8	2000
CHN	97	78.897	58.511	63553	26	74	63	2	11	10.961	14.783	85	1.628	52.204	7113	-0.159	115	83	68	25.384	39.155	2.531	0	7.553	114	110967	-0.516	95	10	1846	7	3	-1.384	62	22	2000
CMR	41	56.31	21.277	5577	7	76	62	5	6	45.168	107.567	90	5.53	73.448	9089	-0.823	79	86	67	45.743	31.439	8.54	0	8.996	87	2067	-1.193	9	5	123	11	8	-1.06	51	6	2000
COG	29	57.156	43.617	1334	23	54	25	60	2	28.865	78.596	96	4.764	87.131	24393	-1.151	80	69	44	43.402	91.514	8.237	0	9.489	83	27570	-1.348	6	16	9	39	20	-1.43	49	12	2000
COM	40	90.948	44.681	82	12	40	16	0	3	80.246	169.625	62	5.297	75.924	14011	-1.158	90	52	16	46.88	16.233	0.663	5	8.697	98	25	-1.168	30	11	3297	10	4	-1.033	44	1	2000
DEU	100	100	96.277	2692	18	53	48	0	4	41.505	66.613	73	1.38	82.528	111525	1.805	105	67	47	16.439	53.851	0	0	5.314	105	1182	1.609	100	3	2	9	8	1.315	77	31	2000
GBR	100	100	100	2063	12	58	58	1	4	61.119	80.599	77	1.64	73.373	94694	1.769	101	70	60	20.034	37.394	0	0	5.83	101	109	1.667	100	5	33	12	6	1.323	86	18	2000
IND	60	79.879	52.66	222541	12	53	54	1	7	15.816	23.67	37	3.35	49.457	9039	-0.187	85	82	24	35.36	20.048	73.325	3	8.996	93	11397	0.348	49	5	3807	14	8	0.352	64	9	2000
IRN	98	94.153	57.447	8613	27	39	41	10	7	40.895	94.734	19	2.016	8.109	42373	-0.492	98	74	13	33.044	38.905	0.538	0	10.1	102	88266	-0.519	94	3	345	23	12	-0.932	26	3	2000
